Title,Course Price,Subscribers,Reviews Left,Length,Percent of Reviews
JavaScript Design Patterns: 20 Patterns for Expert Code,95,2789,243,3.5 hours,"['661802', 'JavaScript Design Patterns: 20 Patterns for Expert Code', 'https://www.udemy.com/javascript-design-patterns-20-patterns-for-expert-code/', 'TRUE', '95', '2789', '243', '26', 'Expert Level', '3.5 hours', '2015-11-12T19:01:10Z']"
Fix Google's New 'Not Secure' Warning with Let's Encrypt!,95,1437,24,1 hour,"['1139400', ""Fix Google's New 'Not Secure' Warning with Let's Encrypt!"", 'https://www.udemy.com/fix-googles-new-not-secure-warning-with-lets-encrypt/', 'TRUE', '95', '1437', '24', '20', 'Beginner Level', '1 hour', '2017-03-09T23:25:27Z']"
JavaScript for Beginners Welcome to learning JavaScript,50,10864,63,2 hours,"['729552', 'JavaScript for Beginners Welcome to learning JavaScript', 'https://www.udemy.com/javascript-for-beginners-course/', 'TRUE', '50', '10864', '63', '26', 'Beginner Level', '2 hours', '2016-02-01T19:34:26Z']"
Benefits of Thinking Mobile First Future of Website Design,75,14254,27,1.5 hours,"['499632', 'Benefits of Thinking Mobile First Future of Website Design', 'https://www.udemy.com/thinking-mobile-websites-smart-design-tutorial/', 'TRUE', '75', '14254', '27', '20', 'Beginner Level', '1.5 hours', '2015-05-13T22:13:53Z']"
Javascript from Beginner to Advanced Level,195,6134,160,6.5 hours,"['959586', 'Javascript from Beginner to Advanced Level', 'https://www.udemy.com/javascript-from-beginner-to-advanced-level/', 'TRUE', '195', '6134', '160', '50', 'Beginner Level', '6.5 hours', '2016-12-19T14:40:00Z']"
AJAX Development,20,7867,147,3 hours,"['16151', 'AJAX Development', 'https://www.udemy.com/ajax-development/', 'TRUE', '20', '7867', '147', '23', 'All Levels', '3 hours', '2012-05-15T18:03:43Z']"
Interaction Design Specialist For Web Developers,95,8594,37,2 hours,"['856490', 'Interaction Design Specialist For Web Developers', 'https://www.udemy.com/interaction-design-specialist-for-web-developers/', 'TRUE', '95', '8594', '37', '18', 'All Levels', '2 hours', '2016-07-04T22:11:35Z']"
PHP Security,50,1892,147,2.5 hours,"['861528', 'PHP Security', 'https://www.udemy.com/php-security/', 'TRUE', '50', '1892', '147', '24', 'All Levels', '2.5 hours', '2016-06-15T20:46:15Z']"
The Bubble Course - Create Complete Web Apps without Coding,30,3960,220,4.5 hours,"['912996', 'The Bubble Course - Create Complete Web Apps without Coding', 'https://www.udemy.com/bubble-course/', 'TRUE', '30', '3960', '220', '47', 'Beginner Level', '4.5 hours', '2016-07-24T18:04:32Z']"
The Complete HTML5 & CSS3 Course Build Professional Websites,195,10518,129,4.5 hours,"['559512', 'The Complete HTML5 & CSS3 Course Build Professional Websites', 'https://www.udemy.com/html5css3/', 'TRUE', '195', '10518', '129', '57', 'All Levels', '4.5 hours', '2015-08-11T21:47:20Z']"
CSS Web Development Crash Course,20,10008,53,2.5 hours,"['922600', 'CSS Web Development Crash Course', 'https://www.udemy.com/css-course/', 'TRUE', '20', '10008', '53', '26', 'Beginner Level', '2.5 hours', '2016-12-01T17:33:48Z']"
Mastering DevOps,100,1023,118,6 hours,"['976284', 'Mastering DevOps', 'https://www.udemy.com/mastering-devops/', 'TRUE', '100', '1023', '118', '38', 'Intermediate Level', '6 hours', '2016-10-21T13:46:19Z']"
Building Websites Create a fully functional Web contact form,200,3392,29,1.5 hours,"['976598', 'Building Websites Create a fully functional Web contact form', 'https://www.udemy.com/how-to-create-a-fully-functional-web-contact-form/', 'TRUE', '200', '3392', '29', '19', 'Beginner Level', '1.5 hours', '2016-10-06T20:52:47Z']"
Create a Dynamic User Registration Form from scratch,100,7213,50,3 hours,"['718426', 'Create a Dynamic User Registration Form from scratch', 'https://www.udemy.com/create-a-dynamic-user-registration-form-from-scratch/', 'TRUE', '100', '7213', '50', '38', 'Beginner Level', '3 hours', '2016-01-09T04:31:40Z']"
A 13 Hour SQL Server 2014 /ASP.NET/CSS/C#/jQuery Course,35,4183,231,14 hours,"['304490', 'A 13 Hour SQL Server 2014 /ASP.NET/CSS/C#/jQuery Course', 'https://www.udemy.com/learnsqlwithsqlserver2014/', 'TRUE', '35', '4183', '231', '86', 'Intermediate Level', '14 hours', '2014-10-12T06:29:05Z']"
HTML Workshop,20,25854,306,2 hours,"['15285', 'HTML Workshop', 'https://www.udemy.com/html-workshop/', 'TRUE', '20', '25854', '306', '17', 'All Levels', '2 hours', '2012-04-08T05:12:43Z']"
Python for Beginners: Python Programming Language | Tutorial,150,6153,125,5 hours,"['477702', 'Python for Beginners: Python Programming Language | Tutorial', 'https://www.udemy.com/python-course/', 'TRUE', '150', '6153', '125', '84', 'Beginner Level', '5 hours', '2015-06-14T18:18:57Z']"
Creating Animations using HTML5 Canvas,25,4010,17,1 hour,"['875882', 'Creating Animations using HTML5 Canvas', 'https://www.udemy.com/hmtl5-canvas-animations/', 'TRUE', '25', '4010', '17', '12', 'All Levels', '1 hour', '2016-06-13T18:58:56Z']"
Bootstrap 4: Exploring New Features,75,5022,38,1 hour,"['861122', 'Bootstrap 4: Exploring New Features', 'https://www.udemy.com/bootstrap-40exploring-new-features/', 'TRUE', '75', '5022', '38', '13', 'All Levels', '1 hour', '2016-05-27T21:28:29Z']"
Bootstrap 3 -> Profitable WordPress Theme Development!,40,5547,80,3.5 hours,"['309370', 'Bootstrap 3 -> Profitable WordPress Theme Development!', 'https://www.udemy.com/bootstrap-wordpress/', 'TRUE', '40', '5547', '80', '40', 'All Levels', '3.5 hours', '2014-10-22T17:39:21Z']"
Intro to Git,20,2532,291,1 hour,"['802268', 'Intro to Git', 'https://www.udemy.com/intro-to-git/', 'TRUE', '20', '2532', '291', '30', 'Beginner Level', '1 hour', '2016-06-28T21:17:31Z']"
WordPress Domination #2: Leads & Scarcity,95,2362,4,1 hour,"['1034520', 'WordPress Domination #2: Leads & Scarcity', 'https://www.udemy.com/wordpress-domination-2-leads-and-scarcity/', 'TRUE', '95', '2362', '4', '13', 'Beginner Level', '1 hour', '2017-01-10T17:41:50Z']"
Learn How to Manage & Customize  Web Sites By Drupal CMS,140,7741,9,2.5 hours,"['1016536', 'Learn How to Manage & Customize  Web Sites By Drupal CMS', 'https://www.udemy.com/drupal-course/', 'TRUE', '140', '7741', '9', '36', 'All Levels', '2.5 hours', '2016-12-11T21:05:33Z']"
Using Modern JavaScript Today,50,1658,185,16.5 hours,"['711592', 'Using Modern JavaScript Today', 'https://www.udemy.com/using-modern-javascript/', 'TRUE', '50', '1658', '185', '68', 'Intermediate Level', '16.5 hours', '2016-01-01T18:34:53Z']"
Up and Running with jQuery,Free,3324,138,5 hours,"['1065250', 'Up and Running with jQuery', 'https://www.udemy.com/up-and-running-with-jquery/', 'FALSE', 'Free', '3324', '138', '19', 'All Levels', '5 hours', '2017-02-03T23:23:30Z']"
Learn How To Build A Professional Web Site By Using Joomla,70,7184,22,4 hours,"['928858', 'Learn How To Build A Professional Web Site By Using Joomla', 'https://www.udemy.com/learn-how-to-build-a-professional-web-site-by-using-joomla/', 'TRUE', '70', '7184', '22', '29', 'All Levels', '4 hours', '2016-08-11T21:03:21Z']"
Power up HTML5 with JavaScript,100,4442,23,2 hours,"['791030', 'Power up HTML5 with JavaScript', 'https://www.udemy.com/power-up-html5-with-javascript/', 'TRUE', '100', '4442', '23', '28', 'Beginner Level', '2 hours', '2016-03-15T18:03:33Z']"
Node Package Manager Course: Build and Publish NPM Modules,30,7196,8,6.5 hours,"['1241518', 'Node Package Manager Course: Build and Publish NPM Modules', 'https://www.udemy.com/node-package-manager-course-build-and-publish-npm-modules/', 'TRUE', '30', '7196', '8', '38', 'All Levels', '6.5 hours', '2017-06-06T17:56:50Z']"
WordPress Look and Feel with Themes,25,2371,10,1 hour,"['944886', 'WordPress Look and Feel with Themes', 'https://www.udemy.com/learn-wordpress-customize-look-and-feel-with-themes/', 'TRUE', '25', '2371', '10', '12', 'Beginner Level', '1 hour', '2016-09-04T19:34:22Z']"
PHP with Laravel for beginners - Become a Master in Laravel,150,8496,1838,29.5 hours,"['758582', 'PHP with Laravel for beginners - Become a Master in Laravel', 'https://www.udemy.com/php-with-laravel-for-beginners-become-a-master-in-laravel/', 'TRUE', '150', '8496', '1838', '308', 'All Levels', '29.5 hours', '2016-04-21T19:57:39Z']"
JavaScript 2017: Become Top Rated Web Developer,115,1346,330,3 hours,"['1199774', 'JavaScript 2017: Become Top Rated Web Developer', 'https://www.udemy.com/become-professional-javascript-developer/', 'TRUE', '115', '1346', '330', '32', 'All Levels', '3 hours', '2017-05-03T14:15:06Z']"
The Complete Web Developer Bootcamp - Beginner to Expert,190,14103,1548,21.5 hours,"['390866', 'The Complete Web Developer Bootcamp - Beginner to Expert', 'https://www.udemy.com/job-ready-web-developer/', 'TRUE', '190', '14103', '1548', '197', 'All Levels', '21.5 hours', '2015-01-19T00:23:15Z']"
Full-Stack Web Apps with Meteor and React,85,3295,531,31.5 hours,"['1014776', 'Full-Stack Web Apps with Meteor and React', 'https://www.udemy.com/meteor-react/', 'TRUE', '85', '3295', '531', '162', 'All Levels', '31.5 hours', '2016-11-23T23:05:38Z']"
Angular 4: From Theory to Practice & FREE E-Book,200,4375,622,15.5 hours,"['929130', 'Angular 4: From Theory to Practice & FREE E-Book', 'https://www.udemy.com/angular-2-from-theory-to-practice/', 'TRUE', '200', '4375', '622', '129', 'Intermediate Level', '15.5 hours', '2016-11-15T21:35:06Z']"
The Complete Sass & SCSS Course: From Beginner to Advanced,195,12021,660,4 hours,"['746014', 'The Complete Sass & SCSS Course: From Beginner to Advanced', 'https://www.udemy.com/sasscourse/', 'TRUE', '195', '12021', '660', '41', 'All Levels', '4 hours', '2016-02-24T16:48:27Z']"
Become a Certified Web Developer,100,26673,1090,12 hours,"['11475', 'Become a Certified Web Developer', 'https://www.udemy.com/become-a-certified-web-developer/', 'TRUE', '100', '26673', '1090', '185', 'All Levels', '12 hours', '2011-12-20T15:29:25Z']"
Become a Web Developer from Scratch,120,69186,2408,27.5 hours,"['11174', 'Become a Web Developer from Scratch', 'https://www.udemy.com/how-to-become-a-web-developer-from-scratch/', 'TRUE', '120', '69186', '2408', '197', 'All Levels', '27.5 hours', '2011-11-19T21:51:20Z']"
Ultimate Angular 4 (previously Angular 2) with Bootstrap 4,50,11384,1846,5.5 hours,"['945978', 'Ultimate Angular 4 (previously Angular 2) with Bootstrap 4', 'https://www.udemy.com/ultimate-angular-2/', 'TRUE', '50', '11384', '1846', '80', 'All Levels', '5.5 hours', '2016-09-19T22:25:38Z']"
The Ultimate Beginner's Guide to Django,200,2390,497,9 hours,"['1019276', ""The Ultimate Beginner's Guide to Django"", 'https://www.udemy.com/the-ultimate-beginners-guide-to-django-python-web-dev-website/', 'TRUE', '200', '2390', '497', '82', 'Beginner Level', '9 hours', '2016-12-11T22:07:39Z']"
React JS - Mastering Redux,100,7059,116,5 hours,"['1252630', 'React JS - Mastering Redux', 'https://www.udemy.com/react-js-mastering-redux/', 'TRUE', '100', '7059', '116', '58', 'All Levels', '5 hours', '2017-06-19T21:39:14Z']"
Professional Ruby on Rails Developer with Rails 5,200,3179,214,20.5 hours,"['1000010', 'Professional Ruby on Rails Developer with Rails 5', 'https://www.udemy.com/pro-ruby-on-rails-rails5/', 'TRUE', '200', '3179', '214', '174', 'All Levels', '20.5 hours', '2017-02-19T22:03:15Z']"
"Ruby on Rails 5 - BDD, RSpec and Capybara",200,1870,193,14.5 hours,"['937586', 'Ruby on Rails 5 - BDD, RSpec and Capybara', 'https://www.udemy.com/ruby-rails-5-bdd-rspec-capybara/', 'TRUE', '200', '1870', '193', '145', 'All Levels', '14.5 hours', '2016-10-28T00:17:36Z']"
Back to School Web Development and Programming Bundle,200,18170,117,44.5 hours,"['79154', 'Back to School Web Development and Programming Bundle', 'https://www.udemy.com/back-to-school-web-development-and-programming-bundle/', 'TRUE', '200', '18170', '117', '779', 'Beginner Level', '44.5 hours', '2013-08-19T14:53:00Z']"
Complete ASP NET MVC Web Development - Newbie to Ninja!,195,6073,627,9 hours,"['328476', 'Complete ASP NET MVC Web Development - Newbie to Ninja!', 'https://www.udemy.com/better-web-development-pro-techniques-for-success/', 'TRUE', '195', '6073', '627', '66', 'All Levels', '9 hours', '2014-11-24T21:10:49Z']"
The Complete DevOps Engineer Course 2.0 - Java & Kubernetes,195,5335,105,14 hours,"['921474', 'The Complete DevOps Engineer Course 2.0 - Java & Kubernetes', 'https://www.udemy.com/the-complete-devops-engineer-course-20-java-kubernetes/', 'TRUE', '195', '5335', '105', '117', 'All Levels', '14 hours', '2016-08-06T20:53:04Z']"
All about NodeJS,50,8755,931,15.5 hours,"['82778', 'All about NodeJS', 'https://www.udemy.com/all-about-nodejs/', 'TRUE', '50', '8755', '931', '133', 'All Levels', '15.5 hours', '2014-12-19T20:46:50Z']"
How To Create A Wordpress Website 2016 | NEW Divi Theme 3.0!,40,4144,383,5.5 hours,"['907386', 'How To Create A Wordpress Website 2016 | NEW Divi Theme 3.0!', 'https://www.udemy.com/how-to-create-a-wordpress-website-2016-new-divi-theme-30/', 'TRUE', '40', '4144', '383', '43', 'Beginner Level', '5.5 hours', '2016-10-13T22:12:07Z']"
The Complete jQuery Course - From Beginner to Professional!,200,6420,134,22.5 hours,"['877124', 'The Complete jQuery Course - From Beginner to Professional!', 'https://www.udemy.com/complete-jquery-developer-course-beginner-to-pro/', 'TRUE', '200', '6420', '134', '188', 'All Levels', '22.5 hours', '2016-06-20T22:59:31Z']"
Build a complete Fiverr clone with Node + Algolia + Paypal,30,1741,26,9 hours,"['1169378', 'Build a complete Fiverr clone with Node + Algolia + Paypal', 'https://www.udemy.com/web-developer-build-fiverr-twitter-and-mvp-with-nodejs/', 'TRUE', '30', '1741', '26', '87', 'All Levels', '9 hours', '2017-05-20T05:38:42Z']"
The Ultimate Web Development Course,50,9881,329,12 hours,"['30240', 'The Ultimate Web Development Course', 'https://www.udemy.com/build-an-instant-update-database-interface-with-jquery-ajax/', 'TRUE', '50', '9881', '329', '136', 'All Levels', '12 hours', '2013-08-25T16:16:52Z']"
React From The Ground Up,150,3252,401,12.5 hours,"['836044', 'React From The Ground Up', 'https://www.udemy.com/reactjs-from-the-ground-up/', 'TRUE', '150', '3252', '401', '62', 'All Levels', '12.5 hours', '2016-05-02T21:59:07Z']"
Javascript for Beginners Learn by Doing Practical Exercises,100,5089,685,3.5 hours,"['405818', 'Javascript for Beginners Learn by Doing Practical Exercises', 'https://www.udemy.com/javascript-for-beginners-introduction-learn-fast-easy/', 'TRUE', '100', '5089', '685', '29', 'All Levels', '3.5 hours', '2015-01-31T02:24:19Z']"
8 Beautiful Ruby on Rails Apps in 30 Days & TDD - Immersive ,100,5962,466,16 hours,"['665042', '8 Beautiful Ruby on Rails Apps in 30 Days & TDD - Immersive ', 'https://www.udemy.com/8-beautiful-ruby-on-rails-apps-in-30-days/', 'TRUE', '100', '5962', '466', '132', 'All Levels', '16 hours', '2016-03-08T07:36:40Z']"
Wordpress Website Mastery 2017,Free,5181,64,2.5 hours,"['1068590', 'Wordpress Website Mastery 2017', 'https://www.udemy.com/wordpress-website-mastery-2017/', 'FALSE', 'Free', '5181', '64', '22', 'Beginner Level', '2.5 hours', '2017-01-18T17:01:40Z']"
How To Make an eCommerce Website With Wordpress 2017,Free,3493,43,4.5 hours,"['1203894', 'How To Make an eCommerce Website With Wordpress 2017', 'https://www.udemy.com/how-to-make-an-ecommerce-website-with-wordpress-2017/', 'FALSE', 'Free', '3493', '43', '26', 'Beginner Level', '4.5 hours', '2017-05-09T22:08:11Z']"
Mastering ASP.NET MVC 5 From Scratch Using C#,50,417,65,13 hours,"['994634', 'Mastering ASP.NET MVC 5 From Scratch Using C#', 'https://www.udemy.com/masteringaspnetmvc5/', 'TRUE', '50', '417', '65', '109', 'All Levels', '13 hours', '2016-12-01T20:30:59Z']"
Start Web Development with GIS Map in JavaScript,60,1599,26,3 hours,"['765916', 'Start Web Development with GIS Map in JavaScript', 'https://www.udemy.com/start-web-development-with-gis-map-in-javascript/', 'TRUE', '60', '1599', '26', '49', 'All Levels', '3 hours', '2016-02-28T23:43:19Z']"
Learn to Build Websites using Twitter Bootstrap,Free,15134,523,2.5 hours,"['128950', 'Learn to Build Websites using Twitter Bootstrap', 'https://www.udemy.com/learn-to-build-websites-using-twitter-bootstrap/', 'FALSE', 'Free', '15134', '523', '12', 'All Levels', '2.5 hours', '2014-04-14T07:51:24Z']"
Web Development Tools the Pros Use: Code Productivity Hacks,30,2596,11,4 hours,"['549064', 'Web Development Tools the Pros Use: Code Productivity Hacks', 'https://www.udemy.com/web-development-tools/', 'TRUE', '30', '2596', '11', '39', 'Beginner Level', '4 hours', '2015-10-08T18:13:22Z']"
WordPress : An Overview,45,1783,16,36 mins,"['400280', 'WordPress : An Overview', 'https://www.udemy.com/what-is-wordpress/', 'TRUE', '45', '1783', '16', '15', 'Beginner Level', '36 mins', '2015-02-02T04:48:51Z']"
Create Startup Landing Page with Viral Marketing Strategies,Free,12974,120,1 hour,"['382856', 'Create Startup Landing Page with Viral Marketing Strategies', 'https://www.udemy.com/create-startup-landing-page-with-viral-marketing-strategies/', 'FALSE', 'Free', '12974', '120', '13', 'Beginner Level', '1 hour', '2015-01-03T01:18:44Z']"
JavaScript : JavaScript Awesomeness,25,785,20,1 hour,"['958982', 'JavaScript : JavaScript Awesomeness', 'https://www.udemy.com/javascript-javascript/', 'TRUE', '25', '785', '20', '25', 'Beginner Level', '1 hour', '2016-09-15T18:06:58Z']"
Mastering CSS 3.0 Selectors,Free,4115,63,2 hours,"['1113036', 'Mastering CSS 3.0 Selectors', 'https://www.udemy.com/css3-selectors/', 'FALSE', 'Free', '4115', '63', '13', 'Intermediate Level', '2 hours', '2017-02-22T21:57:35Z']"
WordPress Backup And Restore Fundamentals,Free,13242,131,1 hour,"['226534', 'WordPress Backup And Restore Fundamentals', 'https://www.udemy.com/wordpress-backup-and-restore-fundamentals/', 'FALSE', 'Free', '13242', '131', '24', 'Intermediate Level', '1 hour', '2014-06-24T19:23:44Z']"
Learn HTML and CSS to make a Website,20,1154,12,6 hours,"['738726', 'Learn HTML and CSS to make a Website', 'https://www.udemy.com/learn-html-and-css-to-make-website/', 'TRUE', '20', '1154', '12', '71', 'Beginner Level', '6 hours', '2016-01-28T19:35:51Z']"
1 Hour HTML,200,16212,514,1 hour,"['64422', '1 Hour HTML', 'https://www.udemy.com/1-hour-html/', 'TRUE', '200', '16212', '514', '20', 'Beginner Level', '1 hour', '2013-07-09T03:16:26Z']"
Angular 2 Crash Course with TypeScript,100,16409,589,4 hours,"['874166', 'Angular 2 Crash Course with TypeScript', 'https://www.udemy.com/angular-2-crash-course/', 'TRUE', '100', '16409', '589', '74', 'All Levels', '4 hours', '2016-06-14T19:26:06Z']"
Boost your website speed without any coding!,50,1337,28,1 hour,"['1197650', 'Boost your website speed without any coding!', 'https://www.udemy.com/boost-your-website-speed-without-any-coding/', 'TRUE', '50', '1337', '28', '12', 'All Levels', '1 hour', '2017-05-14T17:14:48Z']"
Professional Rails Code Along,40,1469,237,19 hours,"['912946', 'Professional Rails Code Along', 'https://www.udemy.com/professional-ruby-on-rails-coding-course/', 'TRUE', '40', '1469', '237', '120', 'Intermediate Level', '19 hours', '2016-08-04T03:48:09Z']"
ASP.NET Web API 2 Hands-On,20,2660,276,1.5 hours,"['876544', 'ASP.NET Web API 2 Hands-On', 'https://www.udemy.com/aspnet-web-api-2-hands-on/', 'TRUE', '20', '2660', '276', '16', 'All Levels', '1.5 hours', '2016-06-19T20:10:58Z']"
Create a MEAN App by Example - Full Stack Course,50,421,26,3.5 hours,"['1205894', 'Create a MEAN App by Example - Full Stack Course', 'https://www.udemy.com/full-stack-course-mean-app/', 'TRUE', '50', '421', '26', '33', 'Intermediate Level', '3.5 hours', '2017-05-08T18:16:17Z']"
The Original Complete Web Developer Course.,20,31070,742,18 hours,"['19332', 'The Original Complete Web Developer Course.', 'https://www.udemy.com/thecompletewebdeveloper/', 'TRUE', '20', '31070', '742', '195', 'Beginner Level', '18 hours', '2012-10-28T00:13:03Z']"
Angular 2 From The Ground Up,30,1737,471,11.5 hours,"['863954', 'Angular 2 From The Ground Up', 'https://www.udemy.com/angular-2-from-the-ground-up/', 'TRUE', '30', '1737', '471', '87', 'All Levels', '11.5 hours', '2016-06-02T17:52:17Z']"
Complete Web Development Course + Building 5 Websites!,200,11492,174,24.5 hours,"['789324', 'Complete Web Development Course + Building 5 Websites!', 'https://www.udemy.com/creating-5-web-development-projects-in-html5-and-css3/', 'TRUE', '200', '11492', '174', '118', 'All Levels', '24.5 hours', '2016-03-21T20:14:43Z']"
WP Plugin Development - Build your own plugin!,200,5439,22,4 hours,"['1229274', 'WP Plugin Development - Build your own plugin!', 'https://www.udemy.com/wp-plugin-development-build-your-own-plugin/', 'TRUE', '200', '5439', '22', '24', 'Beginner Level', '4 hours', '2017-06-13T18:39:12Z']"
Sass: From Beginner to Advanced,40,8059,231,2 hours,"['906700', 'Sass: From Beginner to Advanced', 'https://www.udemy.com/sass-from-beginner-to-advanced/', 'TRUE', '40', '8059', '231', '39', 'All Levels', '2 hours', '2016-07-21T15:43:34Z']"
Build Flat Responsive Website from Scratch - Complete Course,35,12105,144,7.5 hours,"['113706', 'Build Flat Responsive Website from Scratch - Complete Course', 'https://www.udemy.com/build-flat-responsive-website-from-scratch-complete-course/', 'TRUE', '35', '12105', '144', '54', 'All Levels', '7.5 hours', '2013-12-04T13:33:41Z']"
Wordpress for Beginners - Build a Live Website from Scratch,20,3877,92,1.5 hours,"['604044', 'Wordpress for Beginners - Build a Live Website from Scratch', 'https://www.udemy.com/wordpress_for_beginners/', 'TRUE', '20', '3877', '92', '15', 'Beginner Level', '1.5 hours', '2015-09-09T17:53:26Z']"
"Essential JavaScript, jQuery and AngularJS Training",30,2919,136,7 hours,"['531290', 'Essential JavaScript, jQuery and AngularJS Training', 'https://www.udemy.com/essential-javascript-jquery-angularjs-training/', 'TRUE', '30', '2919', '136', '70', 'Intermediate Level', '7 hours', '2015-07-09T22:41:32Z']"
The Pro Ruby on Rails Starter,45,2409,90,2.5 hours,"['436210', 'The Pro Ruby on Rails Starter', 'https://www.udemy.com/pro-rubyonrails-starter/', 'TRUE', '45', '2409', '90', '19', 'Beginner Level', '2.5 hours', '2015-03-04T18:37:14Z']"
Unit Testing AngularJS: Build Bugfree Apps That Always Work!,25,2083,213,2.5 hours,"['617158', 'Unit Testing AngularJS: Build Bugfree Apps That Always Work!', 'https://www.udemy.com/unit-testing-angularjs/', 'TRUE', '25', '2083', '213', '23', 'All Levels', '2.5 hours', '2016-01-24T21:47:20Z']"
WordPress Blog : Create a WordPress Website for Beginners,20,2076,8,2 hours,"['1121580', 'WordPress Blog : Create a WordPress Website for Beginners', 'https://www.udemy.com/wordpress-website-for-beginners/', 'TRUE', '20', '2076', '8', '20', 'Beginner Level', '2 hours', '2017-02-26T18:29:53Z']"
Introduction to HTML5 Canvas basics of drawing,200,2918,16,1 hour,"['782192', 'Introduction to HTML5 Canvas basics of drawing', 'https://www.udemy.com/introduction-to-html5-canvas-basics-of-drawing/', 'TRUE', '200', '2918', '16', '17', 'Beginner Level', '1 hour', '2016-03-14T18:51:45Z']"
"Thoughtful Web Development Course: HTML, Vue.js, PHP, MySQL",200,842,144,25 hours,"['978728', 'Thoughtful Web Development Course: HTML, Vue.js, PHP, MySQL', 'https://www.udemy.com/web-development-html5-css3-php-oop-and-mysql-database/', 'TRUE', '200', '842', '144', '536', 'All Levels', '25 hours', '2016-10-11T14:18:27Z']"
Kids Coding - Beginners CSS,100,7130,30,1 hour,"['65493', 'Kids Coding - Beginners CSS', 'https://www.udemy.com/kids-coding-beginners-css/', 'TRUE', '100', '7130', '30', '17', 'All Levels', '1 hour', '2013-07-25T19:55:43Z']"
PHP & MySQL - Learn The Easy Way. Master PHP & MySQL Quickly,50,5549,92,15.5 hours,"['32649', 'PHP & MySQL - Learn The Easy Way. Master PHP & MySQL Quickly', 'https://www.udemy.com/learning-php-and-mysql-development-the-easy-way/', 'TRUE', '50', '5549', '92', '143', 'All Levels', '15.5 hours', '2012-12-15T15:22:52Z']"
Learning Path: Magento: Master and Test Magento 2 with Ease,200,155,9,6 hours,"['1225030', 'Learning Path: Magento: Master and Test Magento 2 with Ease', 'https://www.udemy.com/learning-path-magento-master-and-test-magento-2-with-ease/', 'TRUE', '200', '155', '9', '37', 'Expert Level', '6 hours', '2017-05-26T17:51:05Z']"
The Complete hapiJS Course - Go From Beginner To Advanced!,195,1697,64,6 hours,"['903140', 'The Complete hapiJS Course - Go From Beginner To Advanced!', 'https://www.udemy.com/hapijs-course/', 'TRUE', '195', '1697', '64', '54', 'All Levels', '6 hours', '2016-07-13T15:30:53Z']"
Ruby On Rails For Web Development,195,2526,185,5 hours,"['372518', 'Ruby On Rails For Web Development', 'https://www.udemy.com/ruby-on-rails-for-web-development/', 'TRUE', '195', '2526', '185', '24', 'Beginner Level', '5 hours', '2014-12-17T19:01:59Z']"
Create eye-catching WordPress website from scratch,30,2342,15,4.5 hours,"['1045862', 'Create eye-catching WordPress website from scratch', 'https://www.udemy.com/create-eye-catching-wordpress-website-from-scratch/', 'TRUE', '30', '2342', '15', '19', 'Beginner Level', '4.5 hours', '2016-12-28T19:04:14Z']"
Become A Web Developer And Seller - Build Websites With HTML,200,21730,61,2.5 hours,"['99826', 'Become A Web Developer And Seller - Build Websites With HTML', 'https://www.udemy.com/the-ultimate-building-and-selling-websites-course/', 'TRUE', '200', '21730', '61', '35', 'Beginner Level', '2.5 hours', '2013-10-05T12:49:46Z']"
WordPress Tips and Tricks,200,1117,10,2.5 hours,"['1236746', 'WordPress Tips and Tricks', 'https://www.udemy.com/wordpress-tips-and-tricks/', 'TRUE', '200', '1117', '10', '37', 'Intermediate Level', '2.5 hours', '2017-06-08T17:44:18Z']"
HTML Tutorials : HTML Code for Website Creating,20,2401,15,3 hours,"['1110756', 'HTML Tutorials : HTML Code for Website Creating', 'https://www.udemy.com/html-code-for-website/', 'TRUE', '20', '2401', '15', '27', 'All Levels', '3 hours', '2017-02-22T17:36:27Z']"
Complete HTML5 and CSS3 Course +1 Start to Finish Project,200,3887,81,8.5 hours,"['595728', 'Complete HTML5 and CSS3 Course +1 Start to Finish Project', 'https://www.udemy.com/complete-html5-and-css3-course-1-start-to-finish-project/', 'TRUE', '200', '3887', '81', '94', 'All Levels', '8.5 hours', '2015-09-07T23:42:50Z']"
Web Development With HTML CSS BOOTSTRAP JQUERY for Beginners,35,1156,4,5 hours,"['1231872', 'Web Development With HTML CSS BOOTSTRAP JQUERY for Beginners', 'https://www.udemy.com/web-development-with-html-css-bootstrap-jquery-for-beginners/', 'TRUE', '35', '1156', '4', '59', 'Beginner Level', '5 hours', '2017-05-30T17:15:41Z']"
HTML5 Specialist: Comprehensive HTML5 Training,100,1385,188,5 hours,"['876850', 'HTML5 Specialist: Comprehensive HTML5 Training', 'https://www.udemy.com/html5-specialist/', 'TRUE', '100', '1385', '188', '83', 'All Levels', '5 hours', '2016-06-22T16:54:51Z']"
CSS and CSS3 For Absolute Beginners,75,10890,212,5 hours,"['113518', 'CSS and CSS3 For Absolute Beginners', 'https://www.udemy.com/css-and-css3-for-absolute-beginners/', 'TRUE', '75', '10890', '212', '33', 'Beginner Level', '5 hours', '2013-11-01T17:12:45Z']"
Build a Complete JQuery Plugin (Image Pop-up Dialog),20,1126,10,1 hour,"['1111552', 'Build a Complete JQuery Plugin (Image Pop-up Dialog)', 'https://www.udemy.com/build-a-complete-jquery-plugin-image-pop-up-dialog/', 'TRUE', '20', '1126', '10', '12', 'All Levels', '1 hour', '2017-02-23T21:46:18Z']"
